(6, 9)	308
(2, 3, 5, 7, 9)	418
(1, 2, 5, 6, 7)	440
(2, 3, 4, 5, 6, 9)	255
(1, 2, 5, 6, 9)	254
(2, 4, 5, 7, 9)	389
(2, 3, 5, 6, 7, 9)	266
(1, 3)	1071
(1, 6)	544
(1, 5, 6, 7, 9)	265
(2, 5, 9)	439
(3, 5, 9)	486
(3, 7)	1652
(2, 5)	1335
(3, 6, 9)	290
(1, 3, 6)	487
(3, 5, 6, 9)	290
(2, 6, 7)	483
(6, 7)	548
(1, 3, 5, 6, 9)	267
(2, 6, 7, 9)	266
(4, 5, 7, 9)	423
(1, 2, 4, 7)	778
(1, 4, 6, 9)	247
(1, 3, 4, 5, 6)	442
(5, 6, 9)	306
(2, 3, 5, 7)	1146
(7,)	1683
(3, 4, 6, 7, 9)	265
(3, 6, 7, 9)	288
(2, 3, 4, 5, 6, 7)	447
(1, 5, 9)	445
(2, 6)	520
(1, 2, 5, 6, 7, 9)	246
(4, 5)	1250
(3, 4, 5, 6, 7, 9)	265
(2, 5, 6, 7, 9)	266
(3, 4, 5, 6, 9)	267
(1, 4, 5, 7, 9)	374
(1, 2, 3, 6, 7)	435
(2, 3, 6, 7)	478
(1, 5, 6, 7)	488
(1, 2, 4)	802
(1, 2, 4, 5, 6, 7)	410
(1, 2, 4, 6, 7)	410
(2, 5, 7)	1153
(2, 3, 9)	423
(1, 3, 7)	1052
(1, 2, 4, 5, 7, 9)	349
(1, 2, 6)	469
(2, 4, 5, 7)	1011
(1, 5, 7)	1043
(1, 3, 4, 6, 7, 9)	244
(1, 2, 3, 4, 5, 9)	352
(1, 3, 5)	1050
(2, 4, 5, 9)	395
(1, 4, 7, 9)	375
(3, 4, 5, 6)	487
(1, 4, 5, 6)	451
(2, 4, 6, 7, 9)	253
(4, 5, 6, 9)	268
(2, 3, 4)	1027
(3, 5, 6, 7, 9)	288
(4, 6, 7)	487
(1, 2, 5, 7, 9)	374
(1, 2, 3, 4, 6)	411
(1, 2, 7)	874
(1, 2, 7, 9)	376
(3, 4, 7)	1207
(2, 3, 6)	482
(4, 6, 9)	268
(1, 3, 5, 9)	420
(5, 7, 9)	484
(1, 2, 3, 7)	868
(1, 6, 7, 9)	265
(1, 5, 6)	539
(1, 2, 3, 9)	379
(1, 2, 4, 5, 7)	766
(9,)	539
(2, 3, 4, 5)	1013
(1, 3, 5, 6)	487
(1,)	1340
(1, 4, 5, 6, 7, 9)	244
(2, 5, 6, 7)	483
(1, 5)	1268
()	5949
(1, 2, 3, 5, 6)	439
(1, 2, 3, 4, 5, 6)	411
(3, 6)	546
(2, 7, 9)	420
(4, 9)	433
(3, 4, 6, 9)	267
(2, 4, 6, 9)	256
(4, 5, 7)	1188
(1, 3, 9)	422
(1, 2, 6, 7)	440
(2, 4, 6, 7)	449
(1, 4, 6, 7)	441
(1, 2, 3, 4, 5)	768
(2, 4, 6)	459
(3, 4, 9)	428
(1, 3, 4, 5, 6, 7)	439
(1, 2, 6, 9)	255
(1, 2, 3, 4, 5, 6, 7, 9)	233
(4, 6, 7, 9)	265
(6, 7, 9)	288
(3, 4, 5)	1189
(2, 3, 7, 9)	420
(4, 5, 6)	497
(2, 3, 5, 6)	482
(3, 5)	1634
(2, 7)	1171
(1, 3, 6, 7)	482
(4, 6)	498
(1, 2, 5, 6)	468
(2,)	1425
(2, 3, 4, 5, 7)	1008
(5, 7)	1630
(5, 6, 7, 9)	288
(1, 2, 4, 5, 6, 9)	236
(1, 7, 9)	420
(1, 3, 4, 6)	442
(1, 4, 9)	382
(3, 5, 6)	545
(2, 3, 5, 6, 9)	268
(1, 2, 3, 4, 6, 7, 9)	233
(1, 3, 4)	863
(1, 2, 3, 5, 9)	377
(1, 2, 3, 5, 7)	855
(3, 4, 7, 9)	425
(1, 4, 7)	862
(1, 2, 4, 7, 9)	350
(2, 3, 4, 6, 9)	255
(1, 2, 3, 4, 5, 7)	763
(1, 2, 4, 5, 6, 7, 9)	233
(1, 2, 4, 5, 9)	354
(1, 2, 9)	393
(1, 2, 3, 4, 6, 7)	408
(2, 4, 7, 9)	390
(1, 4, 5)	883
(2, 6, 9)	276
(2, 4, 5, 6, 9)	256
(2, 4, 5, 6, 7)	449
(1, 2, 5, 9)	389
(2, 3, 4, 6)	450
(1, 2, 3, 4, 7, 9)	350
(1, 3, 4, 7, 9)	375
(1, 3, 4, 5, 7)	844
(1, 2, 5, 7)	861
(3,)	1697
(2, 3, 4, 9)	393
(5, 6)	616
(2, 3, 4, 5, 6)	450
(1, 2, 3, 6)	439
(4, 5, 6, 7)	486
(1, 2, 3, 5)	861
(1, 3, 4, 6, 7)	439
(4, 7, 9)	425
(4, 5, 6, 7, 9)	265
(1, 2, 3, 5, 6, 7)	435
(1, 4, 5, 6, 7)	441
(1, 4, 5, 6, 9)	247
(3, 4, 5, 9)	426
(1, 3, 5, 7)	1032
(1, 4)	900
(1, 2, 3)	874
(1, 2, 3, 4, 7)	775
(3, 9)	489
(2, 3)	1172
(1, 9)	450
(2, 5, 6)	517
(2, 3, 5)	1153
(3, 4, 5, 7, 9)	423
(1, 2, 5)	940
(1, 2, 3, 4)	780
(1, 2, 3, 7, 9)	376
(2, 4, 9)	397
(2, 3, 4, 5, 7, 9)	389
(1, 3, 4, 5, 6, 9)	246
(3, 7, 9)	485
(1, 2, 4, 5, 6)	420
(1, 2, 6, 7, 9)	246
(1, 2, 3, 4, 6, 9)	235
(1, 2, 4, 9)	356
(4,)	1286
(2, 3, 5, 9)	421
(1, 2, 3, 5, 6, 9)	248
(1, 3, 4, 9)	378
(1, 2, 4, 6, 7, 9)	233
(1, 7)	1063
(3, 4)	1213
(2, 4)	1063
