(1,)	1340
(2,)	1425
(3,)	1697
(4,)	1286
(5,)	3154
(6,)	633
(7,)	1683
(9,)	539
(1, 2)	961
(1, 3)	1071
(1, 4)	900
(1, 5)	1268
(1, 6)	544
(1, 7)	1063
(1, 9)	450
(2, 3)	1172
(2, 4)	1063
(2, 5)	1335
(2, 6)	520
(2, 7)	1171
(2, 9)	443
(3, 4)	1213
(3, 5)	1634
(3, 6)	546
(3, 7)	1652
(3, 9)	489
(4, 5)	1250
(4, 6)	498
(4, 7)	1212
(4, 9)	433
(5, 6)	616
(5, 7)	1630
(5, 9)	528
(6, 7)	548
(6, 9)	308
(7, 9)	487
(1, 2, 3)	874
(1, 2, 4)	802
(1, 2, 5)	940
(1, 2, 6)	469
(1, 2, 7)	874
(1, 2, 9)	393
(1, 3, 4)	863
(1, 3, 5)	1050
(1, 3, 6)	487
(1, 3, 7)	1052
(1, 3, 9)	422
(1, 4, 5)	883
(1, 4, 6)	451
(1, 4, 7)	862
(1, 4, 9)	382
(1, 5, 6)	539
(1, 5, 7)	1043
(1, 5, 9)	445
(1, 6, 7)	488
(1, 6, 9)	282
(1, 7, 9)	420
(2, 3, 4)	1027
(2, 3, 5)	1153
(2, 3, 6)	482
(2, 3, 7)	1164
(2, 3, 9)	423
(2, 4, 5)	1045
(2, 4, 6)	459
(2, 4, 7)	1025
(2, 4, 9)	397
(2, 5, 6)	517
(2, 5, 7)	1153
(2, 5, 9)	439
(2, 6, 7)	483
(2, 6, 9)	276
(2, 7, 9)	420
(3, 4, 5)	1189
(3, 4, 6)	488
(3, 4, 7)	1207
(3, 4, 9)	428
(3, 5, 6)	545
(3, 5, 7)	1603
(3, 5, 9)	486
(3, 6, 7)	541
(3, 6, 9)	290
(3, 7, 9)	485
(4, 5, 6)	497
(4, 5, 7)	1188
(4, 5, 9)	430
(4, 6, 7)	487
(4, 6, 9)	268
(4, 7, 9)	425
(5, 6, 7)	547
(5, 6, 9)	306
(5, 7, 9)	484
(6, 7, 9)	288
(1, 2, 3, 4)	780
(1, 2, 3, 5)	861
(1, 2, 3, 6)	439
(1, 2, 3, 7)	868
(1, 2, 3, 9)	379
(1, 2, 4, 5)	789
(1, 2, 4, 6)	420
(1, 2, 4, 7)	778
(1, 2, 4, 9)	356
(1, 2, 5, 6)	468
(1, 2, 5, 7)	861
(1, 2, 5, 9)	389
